Session ID,Timestamp,Relative Time (s),Posture Score,Eye Contact Score,Hand Gesture Score,Overall Confidence,Feedback
Session ID,Timestamp,Relative Time (s),Posture Score,Eye Contact Score,Hand Gesture Score,Overall Confidence,Feedback
test_session_001,2025-09-17 10:26:24,3,55.6,70.5,80,68.7,Maintain straight posture - sit up straight; Appropriate use of hand gestures
test_session_001,2025-09-17 10:26:27,6,29.5,80.9,50,53.4,Maintain straight posture - sit up straight; Good eye contact with interviewer
test_session_001,2025-09-17 10:26:30,9,34.1,92.4,80,68.8,Maintain straight posture - sit up straight; Good eye contact with interviewer; Appropriate use of hand gestures
test_session_001,2025-09-17 10:26:33,12,41.6,95.4,80,72.3,Maintain straight posture - sit up straight; Good eye contact with interviewer; Appropriate use of hand gestures
test_session_001,2025-09-17 10:26:36,15,58.0,98.3,80,78.8,Maintain straight posture - sit up straight; Good eye contact with interviewer; Appropriate use of hand gestures
test_session_001,2025-09-17 10:26:39,18,61.2,96.3,80,79.2,Good eye contact with interviewer; Appropriate use of hand gestures
Session ID,Timestamp,Relative Time (s),Posture Score,Eye Contact Score,Hand Gesture Score,Overall Confidence
unified_test_001,2025-09-17 10:31:44,2,63.8,97.3,50,70.4
unified_test_001,2025-09-17 10:31:46,4,57.9,95.0,50,67.6
unified_test_001,2025-09-17 10:31:48,6,75.4,98.7,50,74.7
unified_test_001,2025-09-17 10:31:50,8,74.1,99.2,50,74.4
unified_test_001,2025-09-17 10:31:52,10,88.3,97.3,50,78.5
unified_test_001,2025-09-17 10:31:54,12,69.4,97.3,50,72.3
unified_test_001,2025-09-17 10:31:56,14,70.8,97.7,50,72.8
Session ID,Timestamp,Relative Time (s),Posture Score,Eye Contact Score,Hand Gesture Score,Overall Confidence,Feedback
test_session_001,2025-09-18 07:13:53,3,84.4,97.3,50,77.2,Excellent posture maintained; Good eye contact with interviewer
test_session_001,2025-09-18 07:13:56,6,85.3,97.2,50,77.5,Excellent posture maintained; Good eye contact with interviewer
test_session_001,2025-09-18 07:13:59,9,90.6,97.2,50,79.3,Excellent posture maintained; Good eye contact with interviewer
test_session_001,2025-09-18 07:14:02,12,65.4,86.8,50,67.4,Good eye contact with interviewer
test_session_001,2025-09-18 07:14:05,15,60.8,90.4,80,77.1,Good eye contact with interviewer; Appropriate use of hand gestures
test_session_001,2025-09-18 07:14:08,18,41.0,91.8,80,70.9,Maintain straight posture - sit up straight; Good eye contact with interviewer; Appropriate use of hand gestures
Session ID,Timestamp,Relative Time (s),Posture Score,Eye Contact Score,Hand Gesture Score,Overall Confidence
unified_test_001,2025-09-18 07:14:37,2,81.6,97.3,50,76.3
unified_test_001,2025-09-18 07:14:39,4,81.3,94.1,50,75.1
unified_test_001,2025-09-18 07:14:41,6,80.0,95.5,50,75.2
unified_test_001,2025-09-18 07:14:43,8,79.9,96.2,50,75.4
unified_test_001,2025-09-18 07:14:45,10,86.1,91.2,50,75.8
unified_test_001,2025-09-18 07:14:47,12,86.5,91.9,50,76.1
unified_test_001,2025-09-18 07:14:49,14,82.9,93.8,50,75.6
Session ID,Timestamp,Relative Time (s),Posture Score,Eye Contact Score,Hand Gesture Score,Overall Confidence
unified_test_001,2025-09-18 07:15:56,2,67.9,96.9,50,71.6
unified_test_001,2025-09-18 07:15:58,4,74.0,89.9,50,71.3
unified_test_001,2025-09-18 07:16:00,6,89.3,83.7,50,74.3
unified_test_001,2025-09-18 07:16:02,8,91.2,86.4,50,75.9
unified_test_001,2025-09-18 07:16:04,10,91.2,87.6,50,76.3
unified_test_001,2025-09-18 07:16:06,12,88.5,87.4,50,75.3
unified_test_001,2025-09-18 07:16:08,14,95.7,91.3,50,79.0
Session ID,Timestamp,Relative Time (s),Posture Score,Eye Contact Score,Hand Gesture Score,Overall Confidence
unified_test_001,2025-09-18 07:16:41,2,95.0,75.9,50,73.6
unified_test_001,2025-09-18 07:16:43,4,94.9,75.9,50,73.6
unified_test_001,2025-09-18 07:16:45,6,96.2,75.9,50,74.0
unified_test_001,2025-09-18 07:16:47,8,99.2,75.8,50,75.0
unified_test_001,2025-09-18 07:16:49,10,99.0,75.7,50,74.9
unified_test_001,2025-09-18 07:16:51,12,99.5,75.2,50,74.9
unified_test_001,2025-09-18 07:16:53,14,98.9,74.9,50,74.6
